date,close
2022-10-25,11.79
2022-10-26,11.89
2022-10-27,11.94
2022-10-28,11.91
2022-10-31,11.98
2022-11-01,12.05
2022-11-02,12.08
2022-11-03,12.05
2022-11-04,12.09
2022-11-07,12.25
2022-11-08,12.33
2022-11-09,12.41
2022-11-10,12.34
2022-11-11,12.58
2022-11-14,12.78
2022-11-15,12.8
2022-11-16,12.75
2022-11-17,12.71
2022-11-18,12.61
2022-11-21,12.54
2022-11-22,12.5
2022-11-23,12.64
2022-11-24,12.69
2022-11-25,12.73
2022-11-28,12.68
2022-11-29,12.78
2022-11-30,12.93
2022-12-01,12.95
2022-12-02,12.89
2022-12-05,12.94
2022-12-06,12.77
2022-12-07,12.73
2022-12-08,12.67
2022-12-09,12.74
2022-12-12,12.75
2022-12-13,12.65
2022-12-14,12.78
2022-12-15,12.76
2022-12-16,12.66
2022-12-19,12.61
2022-12-20,12.5
2022-12-21,12.48
2022-12-22,12.63
2022-12-23,12.57
2022-12-26,12.6
2022-12-27,12.63
2022-12-28,12.55
2022-12-29,12.49
2022-12-30,12.55
2023-01-03,12.56
2023-01-04,12.6
2023-01-05,12.67
2023-01-06,12.74
2023-01-09,12.93
2023-01-10,12.95
2023-01-11,12.94
2023-01-12,12.88
2023-01-13,12.9
2023-01-16,12.96
2023-01-17,12.98
2023-01-30,13.2
2023-01-31,13.1
2023-02-01,13.2
2023-02-02,13.29
2023-02-03,13.27
2023-02-06,13.24
2023-02-07,13.24
2023-02-08,13.31
2023-02-09,13.28
2023-02-10,13.24
2023-02-13,13.29
2023-02-14,13.38
2023-02-15,13.32
2023-02-16,13.43
2023-02-17,13.44
2023-02-20,13.51
2023-02-21,13.5
2023-02-22,13.46
2023-02-23,13.54
2023-02-24,13.49
2023-03-01,13.43
2023-03-02,13.47
2023-03-03,13.51
2023-03-06,13.59
2023-03-07,13.65
2023-03-08,13.65
2023-03-09,13.57
2023-03-10,13.45
2023-03-13,13.39
2023-03-14,13.29
2023-03-15,13.29
2023-03-16,13.22
2023-03-17,13.34
2023-03-20,13.3
2023-03-21,13.35
2023-03-22,13.49
2023-03-23,13.54
2023-03-24,13.58
2023-03-27,13.58
2023-03-28,13.53
2023-03-29,13.57
2023-03-30,13.61
2023-03-31,13.68
2023-04-06,13.68
2023-04-07,13.69
2023-04-10,13.72
2023-04-11,13.8
2023-04-12,13.87
2023-04-13,13.86
2023-04-14,13.89
2023-04-17,13.9
2023-04-18,13.9
2023-04-19,13.89
2023-04-20,13.82
2023-04-21,13.78
2023-04-24,13.81
2023-04-25,13.67
2023-04-26,13.71
2023-04-27,13.76
2023-04-28,13.85
2023-05-02,13.94
2023-05-03,13.95
2023-05-04,13.98
2023-05-05,13.94
2023-05-08,14.0
2023-05-09,14.02
2023-05-10,14.0
2023-05-11,14.0
2023-05-12,14.03
2023-05-15,14.06
2023-05-16,14.17
2023-05-17,14.29
2023-05-18,14.37
2023-05-19,14.43
2023-05-22,14.43
2023-05-23,14.42
2023-05-24,14.4
2023-05-25,14.45
2023-05-26,14.55
2023-05-29,14.7
2023-05-30,14.69
2023-05-31,14.66
2023-06-01,14.61
2023-06-02,14.88
2023-06-05,14.91
2023-06-06,14.93
2023-06-07,15.04
2023-06-08,14.97
2023-06-09,15.19
2023-06-12,15.18
2023-06-13,15.33
2023-06-14,15.37
2023-06-15,15.54
2023-06-16,15.5
2023-06-19,15.44
2023-06-20,15.32
2023-06-21,15.49
2023-06-26,15.44
2023-06-27,15.24
2023-06-28,15.29
2023-06-29,15.37
2023-06-30,15.41
2023-07-03,15.63
2023-07-04,15.82
2023-07-05,15.77
2023-07-06,15.61
2023-07-07,15.46
2023-07-10,15.46
2023-07-11,15.85
2023-07-12,16.17
2023-07-13,16.44
2023-07-14,16.82
2023-07-17,17.04
2023-07-18,17.16
2023-07-19,16.78
2023-07-20,16.97
2023-07-21,17.3
2023-07-24,17.72
2023-07-25,17.78
2023-07-26,17.78
2023-07-27,17.76
2023-07-28,17.98
2023-07-31,17.5
2023-08-01,17.51
2023-08-02,16.95
2023-08-04,16.94
2023-08-07,17.42
2023-08-08,17.3
2023-08-09,17.22
2023-08-10,16.89
2023-08-11,16.99
2023-08-14,16.86
2023-08-15,17.16
2023-08-16,17.31
2023-08-17,17.36
2023-08-18,17.14
2023-08-21,17.14
2023-08-22,17.19
2023-08-23,17.32
2023-08-24,17.4
2023-08-25,17.08
2023-08-28,16.96
2023-08-29,17.05
2023-08-30,17.1
2023-08-31,17.07
2023-09-01,17.0
2023-09-04,17.05
2023-09-05,17.05
2023-09-06,17.13
2023-09-07,17.05
2023-09-08,17.04
2023-09-11,16.65
2023-09-12,16.61
2023-09-13,16.65
2023-09-14,16.94
2023-09-15,16.97
2023-09-18,16.76
2023-09-19,16.67
2023-09-20,16.64
2023-09-21,16.47
2023-09-22,16.55
2023-09-25,16.64
2023-09-26,16.49
2023-09-27,16.52
2023-09-28,16.59
2023-10-02,16.9
2023-10-03,16.79
2023-10-04,16.64
2023-10-05,16.8
2023-10-06,16.89
2023-10-11,16.87
2023-10-12,17.01
2023-10-13,16.77
2023-10-16,16.69
2023-10-17,16.57
2023-10-18,16.31
2023-10-19,16.3
2023-10-20,16.16
2023-10-23,16.03
2023-10-24,16.17
2023-10-25,16.2
2023-10-26,15.99
2023-10-27,16.09
2023-10-30,16.06
2023-10-31,15.87
2023-11-01,15.96
2023-11-02,16.25
2023-11-03,16.28
2023-11-06,16.48
2023-11-07,16.44
2023-11-08,16.66
2023-11-09,16.66
2023-11-10,16.57
2023-11-13,16.57
2023-11-14,16.71
2023-11-15,16.84
2023-11-16,16.78
2023-11-17,16.87
2023-11-20,16.86
2023-11-21,17.12
2023-11-22,17.02
2023-11-23,16.93
2023-11-24,16.9
2023-11-27,16.83
2023-11-28,16.92
2023-11-29,17.01
2023-11-30,17.05
2023-12-01,16.98
2023-12-04,17.02
2023-12-05,16.94
2023-12-06,17.02
2023-12-07,16.98
2023-12-08,17.06
2023-12-11,17.07
2023-12-12,17.08
2023-12-13,17.25
2023-12-14,17.47
2023-12-15,17.38
2023-12-18,17.42
2023-12-19,17.34
2023-12-20,17.55
2023-12-21,17.48
2023-12-22,17.51
2023-12-25,17.7
2023-12-26,17.8
2023-12-27,18.02
2023-12-28,18.03
2023-12-29,18.05
2024-01-02,17.85
2024-01-03,17.6
2024-01-04,17.56
2024-01-05,17.55
2024-01-08,17.61
2024-01-09,17.6
2024-01-10,17.47
2024-01-11,17.56
2024-01-12,17.55
2024-01-15,17.55
2024-01-16,17.45
2024-01-17,17.26
2024-01-18,17.25
2024-01-19,17.6
2024-01-22,17.92
2024-01-23,17.91
2024-01-24,17.92
2024-01-25,17.96
2024-01-26,17.82
2024-01-29,17.94
2024-01-30,17.97
2024-01-31,17.91
2024-02-01,17.98
2024-02-02,18.09
2024-02-05,18.13
2024-02-15,18.38
2024-02-16,18.47
2024-02-19,18.47
2024-02-20,18.55
2024-02-21,18.46
2024-02-22,18.56
2024-02-23,18.6
2024-02-26,18.56
2024-02-27,18.42
2024-02-29,18.54
2024-03-01,18.57
2024-03-04,18.61
2024-03-05,18.69
2024-03-06,18.79
2024-03-07,18.83
2024-03-08,18.81
2024-03-11,18.83
2024-03-12,19.01
