date,close
2019-03-04,29.94
2019-03-05,30.34
2019-03-06,30.45
2019-03-07,30.52
2019-03-08,30.79
2019-03-11,30.81
2019-03-12,30.72
2019-03-13,30.92
2019-03-14,30.84
2019-03-15,30.77
2019-03-18,30.81
2019-03-19,30.81
2019-03-20,30.77
2019-03-21,31.02
2019-03-22,31.07
2019-03-25,31.57
2019-03-26,31.54
2019-03-27,31.7
2019-03-28,32.02
2019-03-29,31.92
2019-04-01,31.84
2019-04-02,31.69
2019-04-03,31.5
2019-04-08,31.51
2019-04-09,31.42
2019-04-10,31.52
2019-04-11,31.58
2019-04-12,31.47
2019-04-15,31.19
2019-04-16,31.23
2019-04-17,31.06
2019-04-18,31.15
2019-04-19,31.27
2019-04-22,31.2
2019-04-23,31.14
2019-04-24,31.21
2019-04-25,31.4
2019-04-26,31.38
2019-04-29,31.47
2019-04-30,31.41
2019-05-02,31.58
2019-05-03,31.47
2019-05-06,31.73
2019-05-07,31.7
2019-05-08,31.83
2019-05-09,31.8
2019-05-10,31.93
2019-05-13,31.98
2019-05-14,32.13
2019-05-15,32.17
2019-05-16,32.38
2019-05-17,32.47
2019-05-20,32.54
2019-05-21,32.34
2019-05-22,32.64
2019-05-23,32.83
2019-05-24,33.11
2019-05-27,33.08
2019-05-28,33.18
2019-05-29,33.56
2019-05-30,33.59
2019-05-31,34.04
2019-06-03,34.2
2019-06-04,34.28
2019-06-05,33.95
2019-06-06,33.82
2019-06-10,34.04
2019-06-11,33.79
2019-06-12,33.99
2019-06-13,34.09
2019-06-14,34.24
2019-06-17,34.17
2019-06-18,34.29
2019-06-19,34.26
2019-06-20,34.32
2019-06-21,34.21
2019-06-24,33.83
2019-06-25,34.18
2019-06-26,34.16
2019-06-27,33.93
2019-06-28,34.06
2019-07-01,33.85
2019-07-02,33.97
2019-07-03,34.36
2019-07-04,34.51
2019-07-05,34.59
2019-07-08,34.32
2019-07-09,34.35
2019-07-10,34.04
2019-07-11,33.98
2019-07-12,33.46
2019-07-15,33.42
2019-07-16,33.67
2019-07-17,33.7
2019-07-18,34.03
2019-07-19,33.93
2019-07-22,33.95
2019-07-23,33.93
2019-07-24,33.76
2019-07-25,33.93
2019-07-26,33.82
2019-07-29,33.88
2019-07-30,33.89
2019-07-31,33.96
2019-08-01,34.22
2019-08-02,35.1
2019-08-05,36.18
2019-08-06,36.13
2019-08-07,36.71
2019-08-08,36.27
2019-08-12,36.54
2019-08-13,37.31
2019-08-14,37.06
2019-08-15,38.22
2019-08-16,38.13
2019-08-19,37.68
2019-08-20,37.6
2019-08-21,37.65
2019-08-22,37.73
2019-08-23,37.27
2019-08-26,38.59
2019-08-27,38.02
2019-08-28,38.47
2019-08-29,38.69
2019-08-30,38.27
2019-09-02,38.3
2019-09-03,38.19
2019-09-04,38.35
2019-09-05,38.02
2019-09-06,37.6
2019-09-10,37.2
2019-09-11,36.58
2019-09-12,36.15
2019-09-16,36.03
2019-09-17,35.7
2019-09-18,35.87
2019-09-19,36.11
2019-09-20,36.19
2019-09-23,36.46
2019-09-24,36.5
2019-09-25,36.88
2019-09-26,36.58
2019-09-27,36.64
2019-10-01,36.61
2019-10-02,36.75
2019-10-03,37.13
2019-10-04,37.24
2019-10-07,37.34
2019-10-08,36.89
2019-10-09,37.09
2019-10-14,35.96
2019-10-15,36.09
2019-10-16,35.78
2019-10-17,35.79
2019-10-18,35.69
2019-10-21,35.45
2019-10-22,35.24
2019-10-23,35.53
2019-10-24,35.53
2019-10-25,35.52
2019-10-28,35.19
